Blue,Green,Yellow,Red,Orange
736,1048,1321,1770,604
731,1057,1325,1789,605
733,1046,1330,1788,603
736,1043,1326,1784,598
738,1047,1332,1786,602
742,1045,1331,1781,603
734,1052,1329,1787,605
732,1045,1339,1792,609
736,1055,1341,1791,607
736,1051,1333,1790,607
743,1046,1334,1794,606
733,1055,1333,1789,601
741,1047,1339,1791,602
736,1057,1340,1791,607
739,1056,1339,1790,605
734,1049,1343,1790,606
740,1050,1336,1799,605
735,1055,1349,1800,605
742,1059,1350,1802,605
744,1065,1351,1801,605
742,1066,1352,1804,598
741,1059,1332,1804,611
743,1059,1351,1802,607
743,1065,1346,1798,607
747,1063,1349,1803,612
748,1061,1351,1810,609
746,1056,1352,1810,608
746,1062,1360,1820,607
746,1066,1352,1815,606
746,1067,1359,1810,609
750,1058,1349,1816,606
748,1066,1345,1815,608
745,1076,1350,1824,606
747,1075,1356,1820,610
749,1063,1360,1825,614
749,1070,1357,1819,605
748,1070,1362,1825,612
751,1072,1355,1826,609
750,1069,1363,1828,614
756,1070,1365,1832,613
751,1072,1363,1830,610
750,1071,1355,1830,608
755,1075,1357,1840,609
741,1076,1371,1833,609
755,1074,1367,1830,614
751,1078,1369,1834,610
755,1079,1364,1842,610
759,1080,1371,1847,600
758,1080,1376,1839,610
755,1080,1377,1843,613
757,1088,1368,1829,611
753,1081,1382,1843,611
751,1082,1374,1850,615
750,1086,1373,1843,609
756,1085,1376,1844,609
755,1084,1376,1841,611
755,1082,1383,1851,610
765,1094,1384,1847,615
761,1087,1380,1853,607
760,1092,1384,1848,610
759,1094,1379,1847,615
759,1090,1384,1857,612
762,1094,1375,1844,614
757,1084,1379,1857,610
756,1097,1383,1860,611
758,1091,1382,1860,613
758,1096,1389,1851,607
762,1089,1394,1856,613
754,1086,1389,1853,609
768,1090,1384,1857,612
758,1095,1391,1863,616
761,1097,1388,1863,615
759,1091,1387,1861,616
761,1096,1394,1873,606
763,1094,1389,1866,616
767,1102,1401,1869,613
765,1096,1412,1873,613
766,1102,1394,1869,611
769,1102,1398,1874,614
770,1107,1402,1877,613
765,1105,1399,1871,609
769,1109,1398,1882,613
766,1109,1402,1873,617
771,1106,1402,1879,609
769,1107,1399,1878,611
773,1116,1409,1885,617
773,1110,1409,1883,615
767,1117,1409,1885,617
772,1110,1407,1888,614
772,1111,1414,1877,611
773,1117,1409,1893,614
